"code.pop";"code_terrain";"date";"species";"status";"niche.bi";"com.nich";"com.sol";"sol.bi";"person";"country";"region";"town";"locality";"longitude";"latitude";"herbarium.individual";"flower.ethanol";"leaves.phylogeny";"flower.cytometry";"capsules";"niche"
"79";"li79";"30EOV2016";20160625;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Olmedo E._Afonso A.";"France";"Provence-Alpes-Côte d'Azur";"Montmaur";"D937";5.85806;44.60464;"";"";"";"";NA;"y"
"80";"li80";"31EOV2016";20160625;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Olmedo E._Afonso A.";"France";"Provence-Alpes-Côte d'Azur";"L'Épine";"53 D226  ";5.6098;44.40102;"";"";"";"";NA;"y"
"81";"li81";"32EOV2016";20160626;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Olmedo E._Afonso A.";"France";"Auvergne-Rhône-Alpes";"Verclause";"Camino a Genny's Camp";5.43057;44.38374;"";"";"";"";NA;"y"
"82";"li82";"33EOV2016";20160626;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Olmedo E._Afonso A.";"France";"Auvergne-Rhône-Alpes";"Sainte-Euphémie-sur-Ouvèze";"Carretera D64";5.3948;44.30601;"";"";"";"";NA;"y"
"83";"li83";"Li_17_01";20170613;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";"Occitanie";"Augmontel";"Le grand Causse";2.3346;43.54886;"";"";"";"";NA;""
"84";"li84";"Li_17_02";20170613;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";"Occitanie";"Orban";"";2.07561;43.84559;"";"";"";"";NA;""
"85";"li85";"Li_17_03";20170613;"Linum suffruticosum";"mixed";1;"complet";"ok.sol";1;"Papuga G.";"France";"Occitanie";"Alos";"Maroules, los ginestes";1.88058;44.00648;"";"";"";"";NA;""
"86";"li86";"Li_17_04";20170613;"Linum tenuifolium";"mixed";1;"complet";"ok.sol";1;"Papuga G.";"France";"Occitanie";"Alos";"Maroules, los ginestes";1.88049;44.00621;"";"";"";"";NA;""
"87";"li87";"Li_17_05";20170613;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Pern";"Proche de Saint Barthelemy";1.45193;44.32375;"";"";"";"";NA;""
"88";"li88";"Li_17_06";20170614;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Tournon d'Agennois";"Bassin retention eau";0.99413;44.37685;"";"";"";"";NA;""
"89";"li89";"Li_17_07";20170614;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Saint Front sur Lemance";"Scierie";0.97282;44.58844;"";"";"";"";NA;""
"90";"li90";"Li_17_08";20170614;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Sauvetat de Blanquefort";"vers Labirade";0.95173;44.57694;"";"";"";"";NA;""
"91";"li91";"Li_17_09";20170614;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"";"";0.55015;44.72748;"";"";"";"";NA;""
"92";"li92";"Li_17_10";20170614;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"";"";0.91041;44.91382;"";"";"";"";NA;""
"93";"li93";"Li_17_11";20170614;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Paulin";"Le Breuil";1.33013;44.98395;"";"";"";"";NA;""
"94";"li94";"Li_17_12";20170615;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Aubas";"l'Escaleyrou";1.21225;45.08731;"";"";"";"";NA;""
"95";"li95";"Li_17_13";20170615;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Condat sur Vézère";"après le roc de Bidaux";1.25051;45.10871;"";"";"";"";NA;""
"96";"li96";"Li_17_14";20170615;"Linum suffruticosum";"mixed";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"";"";0.89165;45.17736;"";"";"";"";NA;""
"97";"li97";"Li_17_15";20170615;"Linum tenuifolium";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"";"bord de route";0.71367;45.3011;"";"";"";"";NA;""
"98";"li98";"Li_17_16";20170615;"Linum suffruticosum";"pure";1;"complet";"ok.sol";1;"Papuga G.";"France";NA;"Saint Vivien";"route du Dolmen";0.53009;45.34233;"";"";"";"";NA;""
